Date,strategy,strike,call_price,exp_date,final_price,profit,bare,cum_profit,cum_bare
2023-02-01,0,411.0,7.65,2023-02-24,396.3800048828125,0.0,-7.65,78.0999926757815,85.00006713867205
2023-02-02,0,417.0,6.89,2023-02-24,396.3800048828125,0.0,-6.89,78.0999926757815,78.11006713867205
2023-02-03,0,412.0,7.44,2023-02-24,396.3800048828125,0.0,-7.44,78.0999926757815,70.67006713867205
2023-02-06,0,410.0,6.89,2023-02-24,396.3800048828125,0.0,-6.89,78.0999926757815,63.78006713867205
2023-02-08,0,411.0,7.76,2023-03-03,404.1900024414063,0.0,-7.76,78.0999926757815,56.020067138672054
2023-02-09,0,407.0,8.2,2023-03-03,404.1900024414063,0.0,-8.2,78.0999926757815,47.82006713867206
2023-02-10,0,408.0,7.87,2023-03-03,404.1900024414063,0.0,-7.87,78.0999926757815,39.95006713867206
2023-02-13,0,413.0,6.91,2023-03-03,404.1900024414063,0.0,-6.91,78.0999926757815,33.04006713867206
2023-02-15,0,414.0,7.12,2023-03-10,385.9100036621094,0.0,-7.12,78.0999926757815,25.920067138672056
2023-02-16,0,408.0,8.38,2023-03-10,385.9100036621094,0.0,-8.38,78.0999926757815,17.540067138672057
2023-02-17,0,407.5,7.12,2023-03-10,385.9100036621094,0.0,-7.12,78.0999926757815,10.420067138672056
2023-02-22,0,399.0,7.96,2023-03-17,389.989990234375,0.0,-7.96,78.0999926757815,2.4600671386720565
2023-02-23,0,401.0,7.7,2023-03-17,389.989990234375,0.0,-7.7,78.0999926757815,-5.239932861327944
2023-02-24,0,396.0,8.02,2023-03-17,389.989990234375,0.0,-8.02,78.0999926757815,-13.259932861327943
2023-02-27,0,398.0,6.98,2023-03-17,389.989990234375,0.0,-6.98,78.0999926757815,-20.239932861327944
2023-03-01,0,395.0,7.79,2023-03-24,395.75,0.0,-7.0400000000000205,78.0999926757815,-27.279932861327964
2023-03-02,0,397.5,7.73,2023-03-24,395.75,0.0,-7.73,78.0999926757815,-35.00993286132797
2023-03-03,0,404.0,6.88,2023-03-24,395.75,0.0,-6.88,78.0999926757815,-41.88993286132797
2023-03-06,0,404.0,6.87,2023-03-24,395.75,0.0,-6.87,78.0999926757815,-48.75993286132797
2023-03-08,0,399.0,7.1,2023-03-31,409.3900146484375,0.0,3.2900146484374773,78.0999926757815,-45.46991821289049
2023-03-09,1,392.0,8.0,2023-03-31,409.3900146484375,9.3900146484375,9.3900146484375,87.490007324219,-36.07990356445299
2023-03-10,1,386.0,8.15,2023-03-31,409.3900146484375,15.240014648437523,15.240014648437523,102.73002197265652,-20.839888916015468
2023-03-13,1,385.0,8.79,2023-03-31,409.3900146484375,15.60001464843748,15.60001464843748,118.330036621094,-5.239874267577989
2023-03-14,1,392.0,7.8,2023-04-06,409.1900024414063,9.390002441406295,9.390002441406295,127.72003906250029,4.150128173828307
2023-03-15,1,389.0,8.32,2023-04-06,409.1900024414063,11.870002441406314,11.870002441406314,139.5900415039066,16.02013061523462
2023-03-16,0,396.0,7.15,2023-04-06,409.1900024414063,0.0,6.04000244140633,139.5900415039066,22.06013305664095
2023-03-17,1,390.0,8.89,2023-04-06,409.1900024414063,10.30000244140632,10.30000244140632,149.89004394531293,32.36013549804727
2023-03-22,0,392.0,11.25,2023-04-14,412.4599914550781,0.0,9.209991455078125,149.89004394531293,41.570126953125396
2023-03-23,0,393.0,8.56,2023-04-14,412.4599914550781,0.0,10.899991455078123,149.89004394531293,52.47011840820352
2023-03-24,0,396.0,7.35,2023-04-14,412.4599914550781,0.0,9.109991455078102,149.89004394531293,61.58010986328162
2023-03-27,1,396.0,7.55,2023-04-14,412.4599914550781,8.909991455078114,8.909991455078114,158.80003540039104,70.49010131835973
2023-03-29,0,401.0,7.98,2023-04-21,412.2000122070313,0.0,3.2200122070312887,158.80003540039104,73.71011352539102
2023-03-30,0,404.0,6.87,2023-04-21,412.2000122070313,0.0,1.3300122070313023,158.80003540039104,75.04012573242233
2023-03-31,0,409.0,7.22,2023-04-21,412.2000122070313,0.0,-4.01998779296872,158.80003540039104,71.0201379394536
2023-04-03,1,411.0,6.21,2023-04-21,412.2000122070313,-5.009987792968673,-5.009987792968673,153.79004760742237,66.01015014648493
2023-04-05,0,407.5,7.28,2023-04-28,415.9299926757813,0.0,1.1499926757813341,153.79004760742237,67.16014282226627
2023-04-06,0,409.0,6.86,2023-04-28,415.9299926757813,0.0,0.0699926757812932,153.79004760742237,67.23013549804756
