Date,last_quote,strike,exp_price,exp_call_price,exp_price_min,exp_price_max,exp_price_std,exp_price_median,exp_price_q1,exp_price_q3,exp_price_kurtosis,exp_price_skew,days,r,prob_itm
2021-04-09,411.44,411.0,412.0220185637885,9.283615600807925,311.3563034917422,557.8670353008855,22.008046288673306,411.4248654103433,396.91187420321376,426.5484691146073,0.051513914079603484,0.16115193698853808,21,0.02,0.507578
2021-04-12,411.63,412.0,412.1231799540347,8.767247494258857,307.1485619109283,525.7335845514481,21.85504516907151,411.5462912277404,397.07359414173817,426.4689530135214,0.05231627041796738,0.1612027788798838,21,0.02,0.491576
2021-04-13,412.79,413.0,413.4017262816471,8.732804973833614,313.92051053533896,527.3236269583774,21.415957096894292,412.82758853194525,398.71667850152244,427.51478129650513,0.04735246681748073,0.15882183301431652,20,0.02,0.49691
2021-04-14,411.5,411.0,412.08736597964736,9.194546471895126,318.39019389518626,522.5848750630397,21.699520256826517,411.52785255402796,397.1615627208839,426.38455338448796,0.04096277604981191,0.15583756815501285,21,0.03,0.510018
2021-04-15,415.83,416.0,416.3860237205075,8.650395943343307,329.53900223108997,518.6112066922536,21.24334188558427,415.86220440076704,401.8167636649903,430.3482616892215,0.05341346537373193,0.15323164298949893,20,0.02,0.49741
2021-04-16,417.35,417.5,417.92745813900484,8.923264111916362,321.6534357576151,531.6344650958191,21.866320972337707,417.38672293678206,402.92047554683415,432.34205120184527,0.05587142698219427,0.15676740902716513,21,0.02,0.497862
2021-04-19,415.24,415.0,415.7813093172843,8.968217677889701,327.547562417595,529.8914549632688,21.519539769932464,415.1965647902757,400.97841506130476,429.9889937147105,0.052592859153528515,0.15708497885452272,21,0.02,0.503686
2021-04-20,412.22,412.0,412.7219943477836,8.627239213831135,328.05814964656884,525.8520438738769,20.74349244859145,412.2037717451942,398.4431514280148,426.3970186223098,0.04522925243907938,0.15630274739275798,20,0.01,0.503932
2021-04-21,416.08,416.0,416.6344124700329,8.809462326591587,324.8501887707582,520.7239027612202,21.305218422376928,416.07970320307845,401.9834214477429,430.6691380798782,0.034434079643025584,0.1561007086466588,21,0.01,0.501462
2021-04-22,412.35,412.0,412.83877396298607,8.631010853087103,328.38941194274463,523.624992024148,20.594087024722644,412.29324691461204,398.69545911585095,426.4487049468009,0.028922328089304727,0.15160966858140423,20,0.0,0.505594
2021-04-23,416.71,417.0,417.23887849957936,8.587352677329694,328.7781513413399,530.5597289174094,21.24674649566928,416.71887988945684,402.6413930110339,431.270899094169,0.03911921012380626,0.15221467811107492,21,0.02,0.49466
2021-04-26,417.65,418.0,418.17297685559316,8.423418904369626,331.30868421543636,532.9530979259889,20.901870902176185,417.6641645012014,403.8020278073311,431.98695823188564,0.027345146228031414,0.14983154115476416,21,0.01,0.493716
2021-04-27,417.46,417.0,417.9475487519043,8.333657689402745,331.9770195559161,517.9509759264494,19.705368605554288,417.5038777848568,404.4164082688928,430.96460220533413,0.024786884784830487,0.1417580355207073,20,0.02,0.510078
2021-04-28,417.39,417.0,417.86839441466117,8.440014684037916,338.31685514626986,523.007252926185,20.07516147586263,417.38345916102,404.05644302378045,431.1305775966544,0.030317973361515538,0.1468913780786793,21,0.01,0.507836
2021-04-29,419.99,420.0,420.46846326870116,7.993175482613675,337.1365166835721,521.0089417166456,19.465202259523437,419.9710979818112,407.0931380764127,433.33746362655376,0.027620591806284622,0.14451333267994274,20,0.01,0.499418
2021-04-30,417.28,417.0,417.77745260204966,8.32764258693978,341.47777828583224,520.9598717267645,19.907864843739496,417.3088671909585,404.0925304910408,430.9098579848276,0.020829736822573164,0.1407618986290554,21,0.01,0.506472
2021-05-03,418.17,418.0,418.5678908189692,8.168117891203941,337.1137113462389,524.1045794058989,19.76629294266249,418.08635299717196,405.03448401460594,431.68188356776307,0.024488814262949354,0.13682214034985188,21,0.01,0.501708
2021-05-04,415.64,416.0,416.0839053133267,7.7201611955616904,338.11838404378756,526.3942762144723,19.259362277858624,415.63136427826885,402.88210315184836,428.80521293386425,0.02929338845746088,0.13811439042593215,20,0.02,0.492258
2021-05-05,415.72,416.0,416.1655639238848,7.921426856364352,338.7968644725113,517.6115890046412,19.661101865573517,415.7108074610477,402.6663931566737,429.16158461286835,0.03595977940451389,0.14341034463702917,21,0.01,0.494094
2021-05-06,419.05,419.0,419.48209322655117,8.016680174635443,340.27001982115866,524.5583173691462,19.50145766263877,419.0545668274885,406.0685196101417,432.39781359434147,0.031387646847988115,0.13564757825710702,20,0.01,0.50105
2021-05-07,422.07,422.0,422.5495023601582,8.305439603218899,341.0894086457934,524.3221635428391,20.154388456369436,422.0926787463836,408.7459020773544,435.83811671504674,0.03746471239389271,0.1420003765757588,21,0.01,0.501854
2021-05-10,417.91,418.0,418.38430082778444,8.380433604037,328.82980095507065,537.1422298721941,20.545134787851065,417.8954583169121,404.26259253558914,431.9282690477289,0.04950374052140161,0.15007944941122425,22,0.01,0.498018
2021-05-11,414.27,414.0,414.7805947350238,8.485438994270586,326.05677982705873,515.4455815286906,20.3020841227836,414.3065081945016,400.8448114603995,428.19666493134383,0.030449399285394474,0.14044852348490033,21,0.02,0.506104
2021-05-12,405.57,406.0,406.0430167439605,8.16558530890031,320.5619589094332,523.1980387589437,20.42855693136903,405.5257859010062,392.02963794738275,419.52520894712086,0.049584906338425494,0.1483342001722814,21,0.01,0.490954
2021-05-13,410.27,410.0,410.76745954170696,8.57073765303864,325.6438590631677,517.0442919486512,20.53402097369398,410.26161107445193,396.6299595740603,424.3127580583732,0.031401680999926906,0.15365505830370702,20,0.01,0.505076
2021-05-14,416.54,417.0,417.06558563408163,8.553797721630275,329.510751261801,531.9566297474662,21.386973753859024,416.5106154700174,402.39863392708423,431.15111647903274,0.04322976891875907,0.15719665872639582,21,0.0,0.490704
2021-05-17,415.52,416.0,416.0756671990753,8.49704983663696,330.7145516920471,526.004096074195,21.236259939614317,415.5508640750251,401.4901484998912,430.0332644342718,0.04641087707351321,0.15494216231563296,21,0.01,0.491608
2021-05-18,411.94,412.0,412.4813149550704,8.369966908463669,324.53170227786796,524.2758761638403,20.387211190071273,411.96715140067164,398.4406747071717,425.9415820581769,0.028258592680520334,0.15235986943766552,20,0.0,0.49934
2021-05-19,410.89,411.0,411.41564730249513,8.57806381275732,322.9562388735832,517.059772566054,21.002718072706013,410.8544487595617,396.9660960873394,425.2731080447679,0.043095364139449366,0.15614551089964065,21,0.0,0.497374
2021-05-20,415.1,415.0,415.6144576943513,8.540631879754368,320.9885832775158,518.9104149502325,20.661309676546562,415.0977683988825,401.41903380839443,429.23263019452037,0.049193699674192626,0.15388644929073075,20,0.0,0.501942
2021-05-21,414.97,415.0,415.4830349803703,8.680106426059352,329.5481437860115,523.9843748403171,21.175999139680123,414.940164922391,400.90472718903334,429.4520342308677,0.04517846682406512,0.15581196888904503,21,0.01,0.498868
2021-05-24,419.12,419.0,419.6996899550848,8.827779742935123,334.51767117188643,529.6775982262812,21.27878204945124,419.1782821170808,405.0565456214925,433.7230064973283,0.05218626170243601,0.14956124454272735,21,0.0,0.503468
2021-05-25,418.25,418.0,418.76295376178706,8.704801800795654,331.7146027432608,522.4370759338805,20.8887501049817,418.25721677300174,404.43197330250166,432.53454063311955,0.05115347098627421,0.14772852416769303,20,0.01,0.504844
2021-05-26,419.02,419.0,419.5600963046544,8.739848807694464,333.9610138294045,535.5575306783244,21.231312947683293,419.0053330835108,404.9841382566493,433.5517997785014,0.039997034707583534,0.1513650397633793,21,0.01,0.50009
2021-05-27,419.2,419.0,419.72381660067686,8.654556175327672,330.77469964159576,532.7320508808398,20.800529039726403,419.2095995874373,405.4313201368066,433.45944111121935,0.02727205790202003,0.1468861821581555,20,0.0,0.503892
2021-05-28,420.05,420.0,420.5878562127985,8.735103446944326,330.8699425205688,519.1313977596088,21.171592081035744,420.0796033125847,406.05020854311107,434.59046532263426,0.023870017966775237,0.14562969023126623,21,0.0,0.501562
2021-06-01,419.64,420.0,420.1110309592443,8.228082385578517,337.3853755265959,533.1525205897012,20.494491274444417,419.61327770494995,406.0289259400426,433.6627200888586,0.03358926239476423,0.14864362172104004,20,0.01,0.492288
2021-06-02,420.37,420.0,420.88772480311167,8.758916796472294,335.39406606891254,557.5885782985481,20.86344494729246,420.38879768916763,406.52842856261515,434.63986005767936,0.053925692401389114,0.15282383096329272,21,0.01,0.507482
2021-06-03,418.82,419.0,419.2852927098465,8.160543762514953,330.87410701098963,518.7964458257584,20.119570428376832,418.7945709685497,405.47284873358814,432.56094674907933,0.033227761651164034,0.14440841524066536,20,0.01,0.495998
2021-06-04,422.56,422.5,423.0838665586831,8.52971159092398,326.1416053847789,521.4857956151444,20.682530881107617,422.5891508993716,408.9004804978825,436.7342241105153,0.04644379846694102,0.14185156084228953,21,0.0,0.501672
2021-06-07,422.23,422.0,422.74191192302084,8.553753155423642,340.03400932908255,532.6979560114046,20.532729381439342,422.2346430123341,408.62690626061305,436.29232674590656,0.05702771037441101,0.14995969456993843,21,0.01,0.504594
2021-06-08,422.27,422.0,422.7561938077403,8.290312270451164,343.2679001086965,528.4169189759551,19.833856104465166,422.26490877048855,409.12077256566556,435.897096293201,0.026468036630256986,0.14449956877610154,20,0.01,0.505198
2021-06-09,421.65,422.0,422.2005487052299,8.114704560925212,332.85278647025746,524.2535968387682,20.097942760759107,421.7319043610937,408.39321016905535,435.5078629577577,0.026770490938790026,0.14158867300305736,21,0.01,0.49461
2021-06-10,423.61,424.0,423.96635799123715,7.470990303313698,345.2013387689246,523.1475650297025,18.767762580089702,423.48603644226813,411.08008871741157,436.4208395705123,0.017868852967662274,0.13384501382117137,20,0.01,0.489272
2021-06-11,424.34,424.0,424.74958694346236,8.004590204398792,338.0845509469136,522.4421850614332,19.138832529436087,424.3318672380371,411.60467021674253,437.4196967151321,0.03000911471636636,0.13648215797765853,21,0.01,0.507046
2021-06-14,425.33,425.0,425.7596538500348,8.155874262689709,341.15252690574323,518.4584215845478,19.51215371791829,425.2931482610471,412.36022699204915,438.6450565537277,0.03695813627951683,0.14641450732342898,22,0.01,0.505834
2021-06-15,424.51,425.0,424.8743160908016,7.287165231121848,348.66194611679026,519.4285755924261,18.43026877608494,424.48876648444013,412.2655787563143,437.0696957861567,0.03023853347657557,0.1282283097130618,21,0.01,0.489024
2021-06-16,422.09,422.0,422.507235671281,7.597531548695104,347.9019655393665,519.7202087227454,18.429188428224876,422.1109921951785,409.87931201788837,434.6942887022044,0.03764389439268756,0.13172975152025765,21,0.02,0.502342
2021-06-17,421.89,422.0,422.28415769460787,7.268106789585719,348.37698454698614,514.2596519964801,17.874836002814305,421.92974635218377,410.02480463980294,434.1049779945024,0.027021788267645785,0.1281995931972069,20,0.04,0.498378
2021-06-18,414.93,415.0,415.30708556584506,7.513634633090404,333.5370705645173,505.0929896355552,18.460242958960148,414.9239078866268,402.6443220499462,427.5373650945266,0.024200729515746477,0.1318994708753225,21,0.05,0.498374
2021-06-21,420.84,420.0,421.2538185770992,8.088197566259721,341.00228963763163,519.2470663941704,18.69809663690425,420.85505048617665,408.43527724779244,433.61262705393534,0.03582197800736431,0.13357311357283386,21,0.05,0.518242
2021-06-22,423.09,424.0,423.51094441643113,7.038925723399384,345.83061677896154,517.1669568890617,18.2461247924894,423.16190773198997,410.97094287467047,435.5786419634635,0.02403911831245953,0.1264160589556927,20,0.04,0.481518
2021-06-23,422.64,423.0,423.04139090459023,7.443816244282208,333.02318331758704,518.1031045277938,18.629491823294096,422.62852982229987,410.2705118224707,435.3434964473842,0.03470775585875341,0.13706699041782852,21,0.04,0.492198
