date,open,high,low,close,volume
22/03/1993,16.0098,16.0098,15.8166,16.0098,318800
23/03/1993,16.0098,16.0708,15.8166,15.9488,266200
24/03/1993,15.9488,15.9488,15.5625,15.6947,356900
25/03/1993,15.6947,16.2029,15.6947,16.0098,415300
26/03/1993,16.0098,16.3249,15.9488,15.9488,173700
29/03/1993,16.0098,16.3249,15.9488,16.2639,254500
30/03/1993,16.2029,16.3249,16.0708,16.2029,175500
31/03/1993,16.2639,16.457,16.1368,16.1368,617000
01/04/1993,16.0708,16.1368,16.0098,16.1368,328900
02/04/1993,15.9488,15.9488,15.5015,15.5015,292100
05/04/1993,15.5625,15.6286,15.4405,15.4405,139600
06/04/1993,15.5015,15.5015,15.1864,15.1864,154000
07/04/1993,15.3084,15.9488,15.1864,15.7557,297700
08/04/1993,15.7557,15.8166,15.5015,15.5625,276500
12/04/1993,15.5015,15.8166,15.5015,15.8166,354000
13/04/1993,15.7557,15.8166,15.5015,15.7557,257800
14/04/1993,15.7557,16.0098,15.5625,15.5625,150000
15/04/1993,15.5625,15.5625,15.0543,15.1864,321100
16/04/1993,15.3084,15.3084,14.9323,15.1864,283900
19/04/1993,15.1203,15.3084,14.9933,15.3084,114800
20/04/1993,15.2474,15.3084,14.8002,14.9323,293400
21/04/1993,14.9323,15.6947,14.8662,15.5625,373100
22/04/1993,15.6286,15.6947,15.2474,15.2474,355200
23/04/1993,15.1203,15.2474,14.8662,14.8662,398900
26/04/1993,14.8662,15.1864,14.8662,15.1203,232500
27/04/1993,15.1992,15.6508,15.1992,15.4558,461000
28/04/1993,15.3942,15.5892,15.2659,15.4558,245900
29/04/1993,15.3326,15.5892,15.1992,15.5892,276100
30/04/1993,15.6508,15.8458,15.5892,15.5892,253100
03/05/1993,15.5892,15.8458,15.5225,15.8458,195600
04/05/1993,15.8458,16.0356,15.7124,15.9074,165500
05/05/1993,15.9689,16.1023,15.8458,16.1023,455600
06/05/1993,15.3942,15.6508,15.0094,15.0761,1070400
07/05/1993,15.0761,15.4558,14.9426,15.3326,478300
10/05/1993,15.2659,15.4558,15.0094,15.1992,139400
11/05/1993,15.1992,15.2659,14.8195,15.1992,275400
12/05/1993,15.0094,15.0094,14.8195,14.8811,341300
13/05/1993,14.8811,14.9426,14.8195,14.8811,198300
14/05/1993,14.9426,14.9426,14.7528,14.7528,293200
17/05/1993,14.8195,14.9426,14.7528,14.9426,245000
18/05/1993,14.8811,14.9426,14.8195,14.9426,264000
19/05/1993,14.9426,15.2659,14.7528,15.1992,528800
20/05/1993,15.1376,15.1376,14.8811,15.0761,364700
21/05/1993,15.0094,15.0761,14.7528,15.0094,356200
24/05/1993,15.0094,15.1992,14.8811,14.9426,201400
25/05/1993,14.9426,15.0094,14.8195,14.8195,292800
26/05/1993,14.8811,15.0094,14.7528,14.9426,375600
27/05/1993,15.1992,15.1992,14.8811,14.9426,518700
28/05/1993,14.9426,15.1376,14.8811,15.0761,237900
01/06/1993,15.0761,15.3942,15.0761,15.1376,343900
02/06/1993,15.2659,15.5225,15.0761,15.4558,400600
03/06/1993,15.4558,15.4558,15.0761,15.1376,24400
04/06/1993,15.1376,15.2659,15.0761,15.2659,148100
07/06/1993,15.1992,15.2659,14.8811,14.9426,333600
08/06/1993,15.0094,15.0094,14.5629,14.6861,194600
09/06/1993,14.4962,14.7528,14.4962,14.6245,187000
10/06/1993,14.6245,14.7528,14.4962,14.4962,201400
11/06/1993,14.4295,15.0094,14.4295,14.8811,271400
14/06/1993,14.8811,15.0094,14.8195,14.9426,163800
15/06/1993,14.9426,14.9426,14.6245,14.8195,176300
16/06/1993,14.6861,14.8195,14.6245,14.8195,408500
17/06/1993,14.7528,15.0094,14.5629,14.7528,386100
18/06/1993,14.6245,14.6245,14.3679,14.4295,398000
21/06/1993,14.4962,14.5629,14.4295,14.5629,263800
22/06/1993,14.4295,14.4962,13.9164,14.1729,532600
23/06/1993,14.1114,14.1114,13.7265,13.8548,784400
24/06/1993,13.8548,14.1729,13.6598,14.1729,533600
25/06/1993,14.3064,14.3064,14.1114,14.3064,250100
28/06/1993,14.3064,14.3064,13.9831,14.3064,177000
29/06/1993,14.3679,14.3679,14.0498,14.1729,426900
30/06/1993,14.1729,14.1729,13.8548,13.9164,266800
01/07/1993,13.9164,14.1114,13.7265,13.9831,591500
02/07/1993,13.9164,13.9831,13.8548,13.9831,332500
06/07/1993,13.9831,13.9831,13.5982,13.7932,421800
07/07/1993,13.9164,14.3064,13.8548,14.3064,676500
